City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,sirte,31.2089,16.5887,289.2,62,0,3.81,LY,1707361385
248,makokou,0.5738,12.8642,295.57,80,64,1.05,GA,1707361385
249,kingston,17.997,-76.7936,296.68,64,20,9.26,JM,1707361385
250,akarsu,37.2355,41.0607,280.26,91,92,1.4,TR,1707361385
251,manturovo,58.3353,44.7619,257.47,97,100,1.77,RU,1707361385
252,ust'-ilimsk,58.0006,102.6619,262.28,97,100,1.34,RU,1707361385
253,haiku-pauwela,20.9219,-156.3051,299.16,63,20,9.77,US,1707361151
254,mukalla,14.5425,49.1242,295.37,72,7,3.37,YE,1707361386
255,nelson bay,-41.2833,173.2833,297.75,68,99,1.34,NZ,1707361364
256,breckenridge,32.7557,-98.9023,288.74,67,0,6.32,US,1707361266
257,razole,16.4833,81.8333,299.32,64,54,0.31,IN,1707361386
258,san luis,13.3034,-4.8956,295.98,12,4,4.35,ML,1707361179
259,balkh,36.75,67.0,280.49,46,24,2.09,AF,1707361386
260,wuxue,29.8506,115.5525,276.59,83,90,0.72,CN,1707361386
261,naze,28.3667,129.4833,285.66,81,100,5.78,JP,1707361386
262,bengkulu,-3.8004,102.2655,302.06,66,67,0.86,ID,1707361386
263,ratnagiri,16.9833,73.3,299.23,43,0,1.76,IN,1707361197
264,navoiy,40.0844,65.3792,278.86,65,100,3.09,UZ,1707361387
265,conduaga,8.862,117.4893,303.03,62,34,2.04,PH,1707361387
266,holualoa,19.6228,-155.9522,297.06,76,40,2.57,US,1707361176
267,kiunga,-6.1219,141.2906,305.45,51,96,2.41,PG,1707361387
268,peace river,48.3083,38.0721,278.51,81,100,7.01,UA,1707361388
269,maryville,35.7565,-83.9705,284.32,58,91,1.34,US,1707361298
270,east independence,65.0,-15.0,267.01,97,100,2.53,IS,1707361388
271,salinopolis,-0.6136,-47.3561,299.89,84,15,4.49,BR,1707361388
272,new norfolk,6.6518,-10.5932,296.03,97,4,0.72,LR,1707361154
273,torit,4.4133,32.5678,298.65,38,12,0.8,SS,1707361209
